name,location,address,lon,lat,tags
빽다방세종전의점,전의면,세종특별자치시 세종특별자치시 전의면 운주산로 1200,127.203728075608,36.6795637847799,#카페 #세종
메가엠지씨커피세종한솔초교점,한솔동,세종특별자치시 세종특별자치시 누리로 27,127.251531164673,36.4757507861929,#카페 #세종
텐퍼센트커피세종새롬점,새롬동,세종특별자치시 세종특별자치시 새롬중앙로 47,127.250779909294,36.485007267201,#카페 #세종
아름나무,금남면,세종특별자치시 세종특별자치시 금남면 용포로 31-1,127.279977403548,36.4612688809427,#카페 #세종
파랑새커피숍,도담동,세종특별자치시 세종특별자치시 보듬4로 9,127.260705775683,36.5131200741657,#카페 #세종
피엠,조치원읍,세종특별자치시 세종특별자치시 조치원읍 행복12길 9-15,127.293257310792,36.6042945308926,#카페 #세종
리아스커피,반곡동,세종특별자치시 세종특별자치시 한누리대로 1940,127.303231765659,36.4911395295341,#카페 #세종
히얼이즈커피세종,어진동,세종특별자치시 세종특별자치시 절재로 194,127.262453375785,36.5083040803035,#카페 #세종
빈스디저트카페,조치원읍,세종특별자치시 세종특별자치시 조치원읍 새내12길 28,127.299463916409,36.6023056021458,#카페 #세종
707커피,한솔동,세종특별자치시 세종특별자치시 노을1로 16,127.26084173607,36.4804348480337,#카페 #세종
슈퍼싸이즈세종아름점,아름동,세종특별자치시 세종특별자치시 보듬3로 91,127.249569911524,36.5113505951846,#카페 #세종
타이슨에스프레소,반곡동,세종특별자치시 세종특별자치시 시청대로 537,127.317517381949,36.4993839829642,#카페 #세종
스위츠브릿지,아름동,세종특별자치시 세종특별자치시 아름서1길 23,127.2435961922,36.5109394006266,#카페 #세종
커플릭스세종,보람동,세종특별자치시 세종특별자치시 한누리대로 2135,127.289267132783,36.4783687579004,#카페 #세종
커피&토스트,조치원읍,세종특별자치시 세종특별자치시 조치원읍 조치원로 64-1,127.303633309424,36.6024482463065,#카페 #세종
빽다방세종조치원욱일점,조치원읍,세종특별자치시 세종특별자치시 조치원읍 행복12길 1,127.292752078504,36.6036920098446,#카페 #세종
메가엠지씨커피세종나성BRT점,나성동,세종특별자치시 세종특별자치시 한누리대로 265,127.25673729213,36.4878242333317,#카페 #세종
